Fichier	Complexité en temps	Complexité en espace	Niveau difficulté
../corpus_annote2/recette_47048_annote.xml	29.5	6	1
../corpus_annote2/recette_80103_annote.xml	14.1	4	1
../corpus_annote2/recette_45692_annote.xml	19.0	4	1
../corpus_annote2/recette_30302_annote.xml	26.409999999999997	7	1
../corpus_annote2/recette_16872_annote.xml	28.11	6	2
../corpus_annote2/recette_86954_annote.xml	2.9000000000000004	2	1
../corpus_annote2/recette_42057_annote.xml	17.3	6	1
../corpus_annote2/recette_85403_annote.xml	19.0	7	1
../corpus_annote2/recette_38356_annote.xml	65.5	5	1
../corpus_annote2/recette_15525_annote.xml	17.3	2	1
../corpus_annote2/recette_165110_annote.xml	16.5	0	3
../corpus_annote2/recette_14739_annote.xml	16.5	5	2
../corpus_annote2/recette_51477_annote.xml	11.899999999999999	2	2
../corpus_annote2/recette_221222_annote.xml	74.85	8	3
../corpus_annote2/recette_169658_annote.xml	21.299999999999997	3	2
../corpus_annote2/recette_18071_annote.xml	13.31	2	1
../corpus_annote2/recette_36928_annote.xml	10.0	3	1
../corpus_annote2/recette_81162_annote.xml	26.5	4	1
../corpus_annote2/recette_11044_annote.xml	29.6	7	2
../corpus_annote2/recette_171188_annote.xml	36.0	4	1
../corpus_annote2/recette_58442_annote.xml	76.0	7	1
../corpus_annote2/recette_228217_annote.xml	28.0	5	2
../corpus_annote2/recette_20486_annote.xml	22.1	2	1
../corpus_annote2/recette_20808_annote.xml	18.4	7	2
../corpus_annote2/recette_53941_annote.xml	36.5	3	1
../corpus_annote2/recette_50416_annote.xml	13.0	3	1
../corpus_annote2/recette_50898_annote.xml	38.5	4	2
../corpus_annote2/recette_15758_annote.xml	10.5	2	1
../corpus_annote2/recette_174806_annote.xml	12.7	7	2
../corpus_annote2/recette_22743_annote.xml	42.099999999999994	6	2
../corpus_annote2/recette_80661_annote.xml	38.5	7	2
../corpus_annote2/recette_224040_annote.xml	24.4	8	2
../corpus_annote2/recette_43529_annote.xml	43.0	4	1
../corpus_annote2/recette_30460_annote.xml	44.599999999999994	7	3
../corpus_annote2/recette_174197_annote.xml	19.5	6	2
../corpus_annote2/recette_67112_annote.xml	7.0	3	1
../corpus_annote2/recette_51315_annote.xml	9.0	3	1
../corpus_annote2/recette_35160_annote.xml	22.1	5	1
../corpus_annote2/recette_25817_annote.xml	22.950000000000003	6	1
../corpus_annote2/recette_173752_annote.xml	17.1	3	2
../corpus_annote2/recette_25499_annote.xml	39.6	10	1
../corpus_annote2/recette_22102_annote.xml	18.5	3	2
../corpus_annote2/recette_14305_annote.xml	22.0	7	2
../corpus_annote2/recette_168078_annote.xml	17.5	8	2
../corpus_annote2/recette_89777_annote.xml	21.5	5	1
../corpus_annote2/recette_34022_annote.xml	16.75	6	1
../corpus_annote2/recette_57492_annote.xml	22.5	7	1
../corpus_annote2/recette_70170_annote.xml	22.0	6	1
../corpus_annote2/recette_212119_annote.xml	19.5	6	2
../corpus_annote2/recette_10897_annote.xml	10.9	2	2
../corpus_annote2/recette_31522_annote.xml	23.0	4	1
../corpus_annote2/recette_22893_annote.xml	83.0	8	2
../corpus_annote2/recette_51554_annote.xml	20.3	8	2
../corpus_annote2/recette_15888_annote.xml	71.0	5	2
../corpus_annote2/recette_173113_annote.xml	31.0	9	2
../corpus_annote2/recette_35721_annote.xml	30.8	9	1
../corpus_annote2/recette_229355_annote.xml	24.5	11	2
../corpus_annote2/recette_42174_annote.xml	93.9	5	2
../corpus_annote2/recette_43368_annote.xml	33.0	4	2
../corpus_annote2/recette_30221_annote.xml	12.5	2	1
../corpus_annote2/recette_50535_annote.xml	22.200000000000003	8	2
../corpus_annote2/recette_66732_annote.xml	31.5	6	2
../corpus_annote2/recette_11167_annote.xml	59.0	3	2
../corpus_annote2/recette_81041_annote.xml	53.2	10	2
../corpus_annote2/recette_55035_annote.xml	28.6	3	1
../corpus_annote2/recette_37699_annote.xml	13.3	4	1
../corpus_annote2/recette_17930_annote.xml	19.2	7	1
../corpus_annote2/recette_23163_annote.xml	15.0	4	1
../corpus_annote2/recette_71111_annote.xml	18.0	3	1
../corpus_annote2/recette_93362_annote.xml	26.25	8	1
../corpus_annote2/recette_10664_annote.xml	27.5	3	3
../corpus_annote2/recette_33823_annote.xml	41.0	3	1
../corpus_annote2/recette_85275_annote.xml	16.5	8	2
../corpus_annote2/recette_71126_annote.xml	62.5	7	2
../corpus_annote2/recette_18607_annote.xml	17.5	7	2
../corpus_annote2/recette_35074_annote.xml	36.7	5	1
../corpus_annote2/recette_24791_annote.xml	46.3	6	1
../corpus_annote2/recette_81569_annote.xml	29.5	7	2
../corpus_annote2/recette_62988_annote.xml	24.5	5	2
../corpus_annote2/recette_55993_annote.xml	45.5	10	1
../corpus_annote2/recette_26454_annote.xml	40.0	9	1
../corpus_annote2/recette_58049_annote.xml	77.9	16	3
../corpus_annote2/recette_30574_annote.xml	76.7	14	4
../corpus_annote2/recette_39223_annote.xml	19.52	5	1
../corpus_annote2/recette_67519_annote.xml	154.6	10	1
../corpus_annote2/recette_71439_annote.xml	7.9	3	1
../corpus_annote2/recette_46422_annote.xml	33.2	5	3
../corpus_annote2/recette_18318_annote.xml	27.11	9	2
../corpus_annote2/recette_69194_annote.xml	26.5	11	1
../corpus_annote2/recette_225657_annote.xml	22.6	6	2
../corpus_annote2/recette_53855_annote.xml	47.0	5	1
../corpus_annote2/recette_17907_annote.xml	14.5	4	1
../corpus_annote2/recette_217131_annote.xml	6.5	4	2
../corpus_annote2/recette_67764_annote.xml	10.0	3	2
../corpus_annote2/recette_40286_annote.xml	17.5	2	1
../corpus_annote2/recette_29929_annote.xml	12.5	4	1
../corpus_annote2/recette_35716_annote.xml	36.0	5	2
../corpus_annote2/recette_54063_annote.xml	19.8	4	1
../corpus_annote2/recette_44914_annote.xml	5.1	4	1
../corpus_annote2/recette_80017_annote.xml	14.65	4	1
../corpus_annote2/recette_42143_annote.xml	6.25	3	1
../corpus_annote2/recette_59537_annote.xml	20.5	2	1
../corpus_annote2/recette_165995_annote.xml	40.0	8	2
../corpus_annote2/recette_41585_annote.xml	27.5	9	2
../corpus_annote2/recette_23329_annote.xml	32.099999999999994	8	3
../corpus_annote2/recette_172627_annote.xml	39.3	8	2
../corpus_annote2/recette_24962_annote.xml	56.5	6	1
../corpus_annote2/recette_27435_annote.xml	14.6	4	2
../corpus_annote2/recette_68864_annote.xml	22.599999999999998	8	1
../corpus_annote2/recette_31515_annote.xml	22.4	7	2
../corpus_annote2/recette_30648_annote.xml	16.0	4	1
../corpus_annote2/recette_43701_annote.xml	23.0	7	1
../corpus_annote2/recette_49490_annote.xml	15.7	5	1
../corpus_annote2/recette_26768_annote.xml	27.6	3	2
../corpus_annote2/recette_27574_annote.xml	19.5	4	1
../corpus_annote2/recette_169312_annote.xml	31.0	6	2
../corpus_annote2/recette_24823_annote.xml	28.299999999999997	6	2
../corpus_annote2/recette_60971_annote.xml	55.3	6	1
../corpus_annote2/recette_13838_annote.xml	95.0	6	2
../corpus_annote2/recette_34154_annote.xml	440.0	11	2
../corpus_annote2/recette_23268_annote.xml	6.5	2	1
../corpus_annote2/recette_221768_annote.xml	45.0	8	2
../corpus_annote2/recette_22074_annote.xml	16.0	4	1
../corpus_annote2/recette_30357_annote.xml	16.6	6	2
../corpus_annote2/recette_59476_annote.xml	33.8	8	2
../corpus_annote2/recette_167280_annote.xml	21.0	4	2
../corpus_annote2/recette_26277_annote.xml	141.7	6	1
../corpus_annote2/recette_63139_annote.xml	29.0	10	2
../corpus_annote2/recette_44855_annote.xml	15.25	5	1
../corpus_annote2/recette_88102_annote.xml	48.5	9	1
../corpus_annote2/recette_175832_annote.xml	29.4	9	2
../corpus_annote2/recette_221277_annote.xml	51.5	11	2
../corpus_annote2/recette_67625_annote.xml	47.95	9	3
../corpus_annote2/recette_17846_annote.xml	16.0	4	1
../corpus_annote2/recette_228242_annote.xml	24.0	5	2
../corpus_annote2/recette_53914_annote.xml	17.5	5	1
../corpus_annote2/recette_31336_annote.xml	34.0	7	1
../corpus_annote2/recette_225716_annote.xml	14.71	6	2
../corpus_annote2/recette_62158_annote.xml	15.5	5	2
../corpus_annote2/recette_81137_annote.xml	15.5	4	1
../corpus_annote2/recette_18259_annote.xml	61.0	11	3
../corpus_annote2/recette_23984_annote.xml	31.75	5	2
../corpus_annote2/recette_28809_annote.xml	31.52	6	2
../corpus_annote2/recette_28487_annote.xml	16.0	4	1
../corpus_annote2/recette_30435_annote.xml	21.2	4	1
../corpus_annote2/recette_52299_annote.xml	9.75	4	1
../corpus_annote2/recette_42760_annote.xml	6.5	4	1
../corpus_annote2/recette_53085_annote.xml	21.4	2	1
../corpus_annote2/recette_26515_annote.xml	19.25	7	1
../corpus_annote2/recette_224015_annote.xml	57.300000000000004	11	2
../corpus_annote2/recette_212212_annote.xml	11.6	3	2
../corpus_annote2/recette_81428_annote.xml	41.3	7	2
../corpus_annote2/recette_27709_annote.xml	15.5	4	1
../corpus_annote2/recette_18746_annote.xml	37.0	9	2
../corpus_annote2/recette_61910_annote.xml	10.52	5	2
../corpus_annote2/recette_47260_annote.xml	20.5	5	2
../corpus_annote2/recette_25842_annote.xml	20.6	8	2
../corpus_annote2/recette_15212_annote.xml	18.35	7	2
../corpus_annote2/recette_38461_annote.xml	45.3	9	2
../corpus_annote2/recette_22209_annote.xml	17.0	5	2
../corpus_annote2/recette_30402_annote.xml	28.0	5	2
../corpus_annote2/recette_72189_annote.xml	11.5	1	1
../corpus_annote2/recette_212225_annote.xml	34.9	6	2
../corpus_annote2/recette_73395_annote.xml	25.5	9	2
../corpus_annote2/recette_81891_annote.xml	46.099999999999994	7	2
../corpus_annote2/recette_93223_annote.xml	38.2	3	2
../corpus_annote2/recette_18771_annote.xml	20.5	5	1
../corpus_annote2/recette_168344_annote.xml	28.0	8	1
../corpus_annote2/recette_15225_annote.xml	75.0	2	2
../corpus_annote2/recette_164882_annote.xml	43.0	7	2
../corpus_annote2/recette_14039_annote.xml	81.39999999999999	8	2
../corpus_annote2/recette_228275_annote.xml	20.799999999999997	6	1
../corpus_annote2/recette_55174_annote.xml	26.6	9	2
../corpus_annote2/recette_81100_annote.xml	45.0	7	1
../corpus_annote2/recette_88348_annote.xml	44.4	7	1
../corpus_annote2/recette_3247_annote.xml	6.2	1	2
../corpus_annote2/recette_14526_annote.xml	34.45	2	1
../corpus_annote2/recette_84400_annote.xml	231.2	6	2
../corpus_annote2/recette_17682_annote.xml	74.0	7	2
../corpus_annote2/recette_229214_annote.xml	58.599999999999994	8	2
../corpus_annote2/recette_59441_annote.xml	31.75	7	1
../corpus_annote2/recette_44862_annote.xml	47.010000000000005	10	3
../corpus_annote2/recette_219844_annote.xml	9.0	4	2
../corpus_annote2/recette_25399_annote.xml	22.9	4	2
../corpus_annote2/recette_168426_annote.xml	19.5	1	1
../corpus_annote2/recette_23740_annote.xml	9.5	2	1
../corpus_annote2/recette_50609_annote.xml	34.28	5	2
../corpus_annote2/recette_39128_annote.xml	12.3	4	2
../corpus_annote2/recette_49829_annote.xml	14.5	4	1
../corpus_annote2/recette_68912_annote.xml	41.0	2	2
../corpus_annote2/recette_171688_annote.xml	22.700000000000003	8	2
../corpus_annote2/recette_27543_annote.xml	171.8	8	2
../corpus_annote2/recette_81662_annote.xml	31.7	6	3
../corpus_annote2/recette_18982_annote.xml	8.3	3	1
../corpus_annote2/recette_168139_annote.xml	61.309999999999995	12	3
../corpus_annote2/recette_220543_annote.xml	40.01	11	2
../corpus_annote2/recette_66111_annote.xml	26.0	5	1
../corpus_annote2/recette_14244_annote.xml	23.0	3	1
../corpus_annote2/recette_174388_annote.xml	46.7	3	2
../corpus_annote2/recette_71173_annote.xml	30.0	6	1
../corpus_annote2/recette_47374_annote.xml	108.46000000000001	10	3
../corpus_annote2/recette_93300_annote.xml	59.0	9	1
../corpus_annote2/recette_51254_annote.xml	8.5	3	1
../corpus_annote2/recette_15306_annote.xml	53.6	7	2
../corpus_annote2/recette_53191_annote.xml	79.0	12	2
../corpus_annote2/recette_167878_annote.xml	11.2	2	1
../corpus_annote2/recette_30521_annote.xml	58.0	6	1
../corpus_annote2/recette_228649_annote.xml	18.52	6	1
../corpus_annote2/recette_10606_annote.xml	9.5	5	1
../corpus_annote2/recette_19151_annote.xml	25.299999999999997	6	2
../corpus_annote2/recette_70670_annote.xml	18.9	6	3
../corpus_annote2/recette_57392_annote.xml	31.0	8	1
../corpus_annote2/recette_84523_annote.xml	36.0	5	3
../corpus_annote2/recette_28593_annote.xml	25.9	10	2
../corpus_annote2/recette_23890_annote.xml	19.1	4	2
../corpus_annote2/recette_50557_annote.xml	31.3	7	1
../corpus_annote2/recette_53800_annote.xml	57.99999999999999	9	1
../corpus_annote2/recette_47898_annote.xml	32.5	6	2
../corpus_annote2/recette_35743_annote.xml	61.1	12	2
../corpus_annote2/recette_211933_annote.xml	41.75	8	2
../corpus_annote2/recette_51536_annote.xml	37.0	4	2
../corpus_annote2/recette_67731_annote.xml	23.3	5	1
../corpus_annote2/recette_23663_annote.xml	18.3	8	1
../corpus_annote2/recette_32186_annote.xml	23.4	6	2
../corpus_annote2/recette_42116_annote.xml	15.6	5	1
../corpus_annote2/recette_21928_annote.xml	19.3	4	1
../corpus_annote2/recette_194602_annote.xml	73.22999999999999	6	2
../corpus_annote2/recette_90935_annote.xml	19.0	7	2
../corpus_annote2/recette_37486_annote.xml	139.5	6	2
../corpus_annote2/recette_92361_annote.xml	17.1	3	1
../corpus_annote2/recette_70112_annote.xml	7.5	2	1
../corpus_annote2/recette_51029_annote.xml	23.5	5	2
../corpus_annote2/recette_33685_annote.xml	33.6	5	2
../corpus_annote2/recette_14367_annote.xml	15.25	5	1
../corpus_annote2/recette_22160_annote.xml	48.6	8	2
../corpus_annote2/recette_32499_annote.xml	69.0	4	2
../corpus_annote2/recette_32817_annote.xml	25.5	4	1
../corpus_annote2/recette_66032_annote.xml	12.2	2	2
../corpus_annote2/recette_50235_annote.xml	26.3	8	2
../corpus_annote2/recette_223937_annote.xml	17.200000000000003	5	1
../corpus_annote2/recette_166819_annote.xml	47.5	9	1
../corpus_annote2/recette_58261_annote.xml	49.7	5	1
../corpus_annote2/recette_71339_annote.xml	10.0	3	1
../corpus_annote2/recette_13595_annote.xml	6.5	5	2
../corpus_annote2/recette_25792_annote.xml	30.4	9	1
../corpus_annote2/recette_14350_annote.xml	29.4	9	2
../corpus_annote2/recette_22157_annote.xml	26.9	5	2
../corpus_annote2/recette_50202_annote.xml	20.0	7	1
../corpus_annote2/recette_222792_annote.xml	41.5	4	1
../corpus_annote2/recette_54990_annote.xml	36.15	5	1
../corpus_annote2/recette_81776_annote.xml	17.32	4	1
../corpus_annote2/recette_27457_annote.xml	19.7	4	2
../corpus_annote2/recette_55702_annote.xml	24.7	9	1
../corpus_annote2/recette_47421_annote.xml	60.9	4	1
../corpus_annote2/recette_173146_annote.xml	14.58	6	2
../corpus_annote2/recette_24091_annote.xml	88.05	7	2
../corpus_annote2/recette_22448_annote.xml	31.2	8	1
../corpus_annote2/recette_84769_annote.xml	24.799999999999997	4	3
../corpus_annote2/recette_23654_annote.xml	34.5	7	2
../corpus_annote2/recette_66994_annote.xml	13.0	2	1
../corpus_annote2/recette_16904_annote.xml	23.799999999999997	7	2
../corpus_annote2/recette_194635_annote.xml	52.400000000000006	3	2
../corpus_annote2/recette_212453_annote.xml	24.5	6	2
../corpus_annote2/recette_27148_annote.xml	14.4	2	2
../corpus_annote2/recette_89040_annote.xml	24.5	4	2
../corpus_annote2/recette_34715_annote.xml	30.5	6	1
../corpus_annote2/recette_46440_annote.xml	41.0	4	2
../corpus_annote2/recette_84514_annote.xml	11.2	2	1
../corpus_annote2/recette_85708_annote.xml	23.5	8	1
../corpus_annote2/recette_43140_annote.xml	20.0	1	2
../corpus_annote2/recette_218931_annote.xml	17.0	3	1
../corpus_annote2/recette_45599_annote.xml	54.6	10	2
../corpus_annote2/recette_27335_annote.xml	63.0	9	2
../corpus_annote2/recette_11132_annote.xml	15.0	2	3
../corpus_annote2/recette_26129_annote.xml	23.75	5	1
../corpus_annote2/recette_72582_annote.xml	21.2	5	1
../corpus_annote2/recette_56828_annote.xml	24.5	6	1
../corpus_annote2/recette_19479_annote.xml	34.5	6	1
../corpus_annote2/recette_70358_annote.xml	6.5	4	1
../corpus_annote2/recette_67064_annote.xml	43.5	5	2
../corpus_annote2/recette_15331_annote.xml	41.5	5	1
../corpus_annote2/recette_45086_annote.xml	22.5	7	2
../corpus_annote2/recette_54763_annote.xml	10.0	3	1
../corpus_annote2/recette_81985_annote.xml	24.0	9	2
../corpus_annote2/recette_10631_annote.xml	5.75	3	3
../corpus_annote2/recette_26436_annote.xml	16.5	8	1
../corpus_annote2/recette_37151_annote.xml	21.11	7	1
../corpus_annote2/recette_80595_annote.xml	50.5	7	2
../corpus_annote2/recette_27826_annote.xml	41.5	2	3
../corpus_annote2/recette_17276_annote.xml	181.0	6	2
../corpus_annote2/recette_30794_annote.xml	10.0	3	1
../corpus_annote2/recette_65123_annote.xml	25.5	7	1
../corpus_annote2/recette_31906_annote.xml	33.4	7	1
../corpus_annote2/recette_29025_annote.xml	30.0	4	1
../corpus_annote2/recette_41518_annote.xml	25.509999999999998	4	1
../corpus_annote2/recette_18869_annote.xml	68.7	5	1
../corpus_annote2/recette_24571_annote.xml	35.0	9	1
../corpus_annote2/recette_60423_annote.xml	21.5	2	2
../corpus_annote2/recette_56624_annote.xml	27.5	6	3
../corpus_annote2/recette_34088_annote.xml	25.0	9	1
../corpus_annote2/recette_173828_annote.xml	15.65	2	1
../corpus_annote2/recette_36652_annote.xml	14.2	5	1
../corpus_annote2/recette_81296_annote.xml	12.0	1	1
../corpus_annote2/recette_166140_annote.xml	23.0	6	2
../corpus_annote2/recette_64620_annote.xml	46.5	8	1
../corpus_annote2/recette_222272_annote.xml	93.6	16	3
../corpus_annote2/recette_49053_annote.xml	7.0	3	1
../corpus_annote2/recette_16575_annote.xml	29.6	7	1
../corpus_annote2/recette_20772_annote.xml	18.0	5	1
../corpus_annote2/recette_22839_annote.xml	27.5	8	2
../corpus_annote2/recette_57127_annote.xml	12.399999999999999	5	2
../corpus_annote2/recette_61320_annote.xml	27.0	2	1
../corpus_annote2/recette_13075_annote.xml	40.1	6	1
../corpus_annote2/recette_34597_annote.xml	34.4	4	1
../corpus_annote2/recette_63298_annote.xml	13.7	4	1
../corpus_annote2/recette_21713_annote.xml	66.3	10	1
../corpus_annote2/recette_65641_annote.xml	35.5	2	1
../corpus_annote2/recette_215014_annote.xml	14.5	5	1
../corpus_annote2/recette_16708_annote.xml	42.9	9	2
../corpus_annote2/recette_20981_annote.xml	69.80000000000001	8	2
../corpus_annote2/recette_23858_annote.xml	36.06	8	2
../corpus_annote2/recette_66798_annote.xml	24.25	7	1
../corpus_annote2/recette_4569_annote.xml	39.75	12	2
../corpus_annote2/recette_51783_annote.xml	93.0	5	2
../corpus_annote2/recette_18385_annote.xml	8.4	4	1
../corpus_annote2/recette_12014_annote.xml	20.009999999999998	7	1
../corpus_annote2/recette_60341_annote.xml	43.0	7	2
../corpus_annote2/recette_19199_annote.xml	60.2	7	3
../corpus_annote2/recette_69416_annote.xml	25.200000000000003	5	3
../corpus_annote2/recette_44265_annote.xml	16.1	6	2
../corpus_annote2/recette_45079_annote.xml	23.0	4	1
../corpus_annote2/recette_62915_annote.xml	51.5	7	2
../corpus_annote2/recette_36130_annote.xml	26.0	5	1
../corpus_annote2/recette_30967_annote.xml	20.4	7	2
../corpus_annote2/recette_16217_annote.xml	44.5	6	2
../corpus_annote2/recette_25510_annote.xml	20.02	5	2
../corpus_annote2/recette_64175_annote.xml	17.7	4	1
../corpus_annote2/recette_222527_annote.xml	21.7	6	2
../corpus_annote2/recette_48994_annote.xml	29.200000000000003	6	2
../corpus_annote2/recette_86306_annote.xml	15.0	2	1
../corpus_annote2/recette_20027_annote.xml	58.4	9	2
../corpus_annote2/recette_33407_annote.xml	38.1	6	2
../corpus_annote2/recette_70390_annote.xml	21.1	3	2
../corpus_annote2/recette_83606_annote.xml	14.0	1	1
../corpus_annote2/recette_36896_annote.xml	66.5	5	1
../corpus_annote2/recette_36418_annote.xml	28.0	7	2
../corpus_annote2/recette_194480_annote.xml	84.8	11	4
../corpus_annote2/recette_58972_annote.xml	25.5	6	1
../corpus_annote2/recette_43188_annote.xml	31.1	6	1
../corpus_annote2/recette_223224_annote.xml	22.799999999999997	4	2
../corpus_annote2/recette_20538_annote.xml	11.9	2	2
../corpus_annote2/recette_86619_annote.xml	28.4	8	1
../corpus_annote2/recette_38095_annote.xml	16.0	4	1
../corpus_annote2/recette_14874_annote.xml	57.5	7	3
../corpus_annote2/recette_12023_annote.xml	85.0	4	1
../corpus_annote2/recette_24224_annote.xml	23.0	5	2
../corpus_annote2/recette_71493_annote.xml	31.2	6	1
../corpus_annote2/recette_219516_annote.xml	83.5	2	2
../corpus_annote2/recette_166177_annote.xml	11.0	1	1
../corpus_annote2/recette_64617_annote.xml	15.399999999999999	3	1
../corpus_annote2/recette_94258_annote.xml	10.5	1	1
../corpus_annote2/recette_15815_annote.xml	14.71	4	1
../corpus_annote2/recette_22480_annote.xml	71.0	8	2
../corpus_annote2/recette_14687_annote.xml	14.5	5	1
../corpus_annote2/recette_57110_annote.xml	19.1	6	1
../corpus_annote2/recette_92681_annote.xml	22.8	5	1
../corpus_annote2/recette_13042_annote.xml	61.300000000000004	6	2
../corpus_annote2/recette_54958_annote.xml	39.5	5	1
../corpus_annote2/recette_68440_annote.xml	19.5	7	1
../corpus_annote2/recette_21046_annote.xml	19.2	6	2
../corpus_annote2/recette_17241_annote.xml	32.75	4	2
../corpus_annote2/recette_228845_annote.xml	36.35	10	2
../corpus_annote2/recette_64308_annote.xml	39.45	5	1
../corpus_annote2/recette_167674_annote.xml	16.7	5	1
../corpus_annote2/recette_15184_annote.xml	33.52	4	1
../corpus_annote2/recette_32466_annote.xml	27.049999999999997	5	3
../corpus_annote2/recette_56613_annote.xml	13.35	4	2
../corpus_annote2/recette_38827_annote.xml	10.1	3	1
../corpus_annote2/recette_32738_annote.xml	15.7	6	1
../corpus_annote2/recette_19592_annote.xml	18.5	4	3
../corpus_annote2/recette_24618_annote.xml	30.0	6	2
../corpus_annote2/recette_36024_annote.xml	24.1	3	1
../corpus_annote2/recette_26953_annote.xml	22.4	4	1
../corpus_annote2/recette_69502_annote.xml	15.7	5	1
../corpus_annote2/recette_20104_annote.xml	29.6	5	1
../corpus_annote2/recette_166736_annote.xml	29.47	5	1
../corpus_annote2/recette_64056_annote.xml	15.0	6	1
../corpus_annote2/recette_32227_annote.xml	27.21	8	2
../corpus_annote2/recette_91888_annote.xml	30.75	8	1
../corpus_annote2/recette_170309_annote.xml	24.1	6	1
../corpus_annote2/recette_37727_annote.xml	12.5	3	1
../corpus_annote2/recette_53552_annote.xml	52.85	6	4
../corpus_annote2/recette_229096_annote.xml	38.5	9	2
../corpus_annote2/recette_65755_annote.xml	50.1	5	1
../corpus_annote2/recette_51864_annote.xml	88.5	8	2
../corpus_annote2/recette_28632_annote.xml	19.6	6	1
../corpus_annote2/recette_84682_annote.xml	32.5	9	2
../corpus_annote2/recette_33246_annote.xml	11.0	3	1
../corpus_annote2/recette_25366_annote.xml	19.9	6	2
../corpus_annote2/recette_34483_annote.xml	19.0	4	1
../corpus_annote2/recette_83047_annote.xml	94.5	4	3
../corpus_annote2/recette_93930_annote.xml	32.5	4	1
../corpus_annote2/recette_170174_annote.xml	84.0	9	1
../corpus_annote2/recette_44413_annote.xml	32.0	3	1
../corpus_annote2/recette_65528_annote.xml	54.5	12	1
../corpus_annote2/recette_59830_annote.xml	44.8	5	2
../corpus_annote2/recette_49147_annote.xml	38.5	5	1
../corpus_annote2/recette_40610_annote.xml	18.86	6	2
../corpus_annote2/recette_33759_annote.xml	51.5	8	3
../corpus_annote2/recette_32545_annote.xml	11.9	6	1
../corpus_annote2/recette_83558_annote.xml	13.5	3	1
../corpus_annote2/recette_24465_annote.xml	31.0	6	2
../corpus_annote2/recette_73117_annote.xml	29.0	3	2
../corpus_annote2/recette_36259_annote.xml	4.6	4	1
../corpus_annote2/recette_27932_annote.xml	21.4	7	1
../corpus_annote2/recette_10929_annote.xml	27.0	13	2
../corpus_annote2/recette_37045_annote.xml	32.0	3	1
../corpus_annote2/recette_223465_annote.xml	14.25	5	2
../corpus_annote2/recette_167757_annote.xml	33.0	8	1
../corpus_annote2/recette_228966_annote.xml	48.4	7	2
../corpus_annote2/recette_49458_annote.xml	15.0	3	2
../corpus_annote2/recette_39871_annote.xml	16.8	6	2
../corpus_annote2/recette_29106_annote.xml	14.0	4	1
../corpus_annote2/recette_15090_annote.xml	3.0	0	1
../corpus_annote2/recette_220905_annote.xml	20.5	7	2
../corpus_annote2/recette_56707_annote.xml	21.2	4	1
../corpus_annote2/recette_13449_annote.xml	12.5	2	1
../corpus_annote2/recette_57995_annote.xml	59.5	6	1
